TotalCharges,MonthlyCharges,tenure,Contract,PaymentMethod,OnlineSecurity,TechSupport,InternetService,gender,OnlineBackup,PaperlessBilling,MultipleLines
1.463829,0.81887734,1.247218,2,1,2,2,0,1,2,1,2
-0.95177156,-1.5093002,-1.1145631,0,3,1,1,2,1,1,0,0
-0.6586511,-1.4727408,0.26992923,2,0,1,1,2,1,1,1,0
-0.84647864,1.2276794,-1.1552835,0,2,0,0,1,1,2,1,2
1.6712141,1.2093996,1.1250569,2,1,0,0,1,1,0,0,2
-0.11885382,1.2808568,-0.54447806,0,2,0,2,1,1,0,0,2
-0.5017713,1.2376502,-0.8702409,0,2,0,0,1,0,2,1,2
0.39942133,1.1695164,-0.05583367,0,2,0,0,1,0,2,1,2
0.069172405,0.649374,-0.09655403,0,1,2,0,1,1,2,1,0
-0.4427675,-1.3348116,0.84001434,2,3,1,1,2,1,1,0,2
-0.8035889,0.8172155,-1.1145631,0,2,0,2,1,0,2,1,0
0.7473294,0.4931651,0.7585736,1,0,0,0,1,1,2,1,2
1.8130394,0.8155537,1.5729809,2,1,2,2,0,0,2,0,2
-0.34592894,-1.3215172,1.1657772,2,1,1,1,2,0,1,1,2
-0.7396406,0.3236618,-0.992402,0,2,0,0,1,1,2,1,0
-0.75628436,-0.32610083,-0.91096133,0,1,2,2,0,1,0,1,0
-0.73496085,-0.49560413,-0.8295206,0,0,0,0,0,0,0,1,1
0.8753144,-0.030300956,1.369379,0,2,0,2,0,1,0,0,2
-0.37135816,-0.14330316,-0.34087622,0,0,2,2,0,1,2,0,0
-0.90362823,-0.27458513,-1.1552835,0,3,0,2,0,0,2,0,0
-0.8506065,0.80392116,-1.1552835,0,2,0,0,1,0,2,1,2
-0.11719827,-0.30449745,0.10704778,1,1,2,0,0,0,2,0,0
0.6605345,0.6959043,0.5142514,0,0,2,2,1,0,2,1,0
2.1441493,1.5035377,1.3286587,1,1,2,2,1,1,0,1,2
-0.49848226,0.5363718,-0.74807984,0,0,0,0,1,0,0,1,0
0.35620046,-0.46735355,1.1657772,1,0,2,2,0,0,2,1,1
1.3655998,0.51809204,1.4508197,2,1,2,0,1,1,0,0,0
-0.4410678,-0.23304018,-0.3815966,1,3,2,2,0,0,2,1,0
0.9834328,0.5579752,0.9214551,0,2,0,0,1,0,2,1,0
-0.24886961,-1.339797,1.4915402,2,0,1,1,2,1,1,0,2
-0.7513177,0.5480044,-1.0331224,0,0,2,2,0,0,0,0,0
1.5225679,0.47488534,1.6137012,2,0,2,0,1,0,0,0,2
0.29997802,-0.5005895,1.1657772,1,0,2,0,0,0,0,1,0
1.2077928,0.51643026,1.2879384,1,1,2,0,1,1,0,0,0
0.28655702,0.94517386,-0.015113308,0,2,0,0,1,0,0,1,2
-0.9723004,0.4915033,-1.2774446,0,3,0,0,1,0,0,1,2
-0.9127669,0.58290213,-1.1960039,0,3,2,2,1,1,0,1,0
-0.98508126,-1.4810498,-1.1960039,0,0,1,1,2,1,1,0,0
1.6840391,0.6526976,1.6137012,2,1,2,2,0,0,0,1,2
-0.6601963,-1.1619847,-0.2594355,0,3,0,0,0,0,0,1,1
0.67095345,1.1861345,0.26992923,2,2,2,0,1,1,0,1,0
-0.9987892,-1.5026531,-1.2774446,0,3,1,1,2,0,1,0,0
-0.99881124,-1.5043149,-1.2774446,0,3,1,1,2,0,1,1,0
1.1858512,0.8022593,0.9621754,1,0,0,0,1,0,0,0,0
0.99420494,1.4221096,0.4328107,1,2,0,2,1,0,0,1,2
-0.9962065,-1.3082229,-1.2774446,0,3,1,1,2,0,1,0,2
-0.14008899,0.20401242,-0.1372744,1,1,0,0,0,1,2,0,2
-0.9259009,0.57293135,-1.2367243,0,2,0,0,1,1,2,1,2
1.4036994,0.4931651,1.4508197,1,1,0,0,1,1,2,0,0
1.8061745,0.82386273,1.4100994,0,0,0,0,1,1,2,1,2
-0.80094004,-1.3248408,-0.54447806,2,0,1,1,2,0,1,1,2
0.62976336,-0.26627612,1.369379,2,1,0,0,0,1,2,1,1
-0.9502043,-1.1869117,-1.1552835,0,2,2,0,0,0,0,1,1
-0.9144224,-1.4960059,-0.9516817,2,3,1,1,2,0,1,0,0
1.414317,1.2991366,0.84001434,0,2,0,0,1,1,2,1,2
-0.79983634,-1.5043149,-0.3815966,0,3,1,1,2,0,1,1,0
1.4695903,1.4553455,0.71785325,1,2,2,2,1,0,2,0,2
-0.9404256,0.33861798,-1.2367243,0,2,0,0,1,1,2,0,0
-0.44806528,-1.4760643,1.0843365,1,3,1,1,2,0,1,0,0
1.3920224,0.6227853,1.247218,2,1,2,0,0,1,2,0,2
-0.19611278,0.20899782,-0.30015585,0,3,2,2,0,0,2,1,0
-0.5341538,0.52141565,-0.74807984,0,2,0,0,1,0,0,1,2
0.89515895,0.07605405,1.3286587,1,1,2,0,0,1,2,0,2
0.7375948,-0.27292332,1.4915402,2,1,2,0,0,1,2,0,1
-0.31619528,0.30870563,-0.4630373,0,0,0,0,1,0,2,1,0
0.7645913,0.8803638,0.4328107,1,1,2,2,1,1,0,1,2
1.8998123,0.9052908,1.5729809,1,2,2,2,1,1,2,1,2
-0.75749844,-1.3098847,-0.54447806,0,1,0,0,0,1,0,1,1
-0.64088154,-1.4993294,0.3106496,2,1,1,1,2,0,1,0,0
-0.6527794,0.6161381,-0.9516817,0,2,0,0,1,0,0,1,2
1.6492505,1.2791951,1.0436162,1,0,0,0,1,1,2,1,2
-0.99863464,-1.4910206,-1.2774446,0,0,1,1,2,0,1,0,0
1.3402809,1.6182016,0.59569216,1,0,2,2,1,1,2,1,2
1.1630709,0.649374,1.0436162,2,2,2,2,0,0,0,1,2
0.8062449,1.2592535,0.3106496,0,3,0,0,1,1,2,1,2
0.2627392,0.12756976,0.35136998,1,2,0,2,0,0,0,1,2
1.9651293,1.2010906,1.4100994,1,1,2,0,1,1,2,1,0
0.4685129,1.1661929,0.066327415,1,2,0,0,1,1,2,1,0
-0.9839996,-1.5176092,-1.1960039,0,3,1,1,2,1,1,1,0
2.0502245,1.7046151,1.1250569,2,0,2,2,1,0,2,1,2
-0.68516195,0.90861434,-0.992402,0,2,0,0,1,0,0,1,0
-0.51859164,0.33695617,-0.7073595,0,0,0,0,1,1,0,1,2
2.148873,1.2409737,1.4508197,2,0,2,0,1,1,2,1,2
-0.21732588,-1.306561,1.5729809,2,1,1,1,2,1,1,0,2
0.9910925,0.49981228,1.0436162,0,0,2,0,1,0,0,1,2
-0.9909971,-1.5142857,-1.2367243,0,2,1,1,2,1,1,0,0
-0.47395805,0.8271863,-0.74807984,0,1,0,2,1,0,2,1,0
-0.34820256,-1.4577845,1.5729809,2,0,1,1,2,0,1,1,0
-0.38248345,1.189458,-0.74807984,0,2,0,0,1,1,2,1,2
-0.87162095,-0.45904458,-1.0738428,0,1,2,2,0,0,2,0,1
-0.5344187,0.1574821,-0.7073595,0,3,0,2,0,1,2,1,0
1.4639835,1.0897502,1.0028958,1,1,0,0,1,1,2,1,0
0.7662027,-0.120037995,1.369379,2,0,2,0,0,0,2,1,0
1.7046562,0.8371571,1.4915402,0,2,0,0,1,1,2,1,2
0.6917471,-0.29452667,1.4508197,1,0,2,2,0,0,0,0,0
1.3166617,0.9983514,0.9621754,1,1,2,0,1,1,0,0,0
0.49175683,1.1396041,0.10704778,0,2,0,0,1,1,0,1,2
0.09597022,-0.2862177,0.4328107,0,2,0,0,0,0,0,0,0
-0.11571932,0.05445069,-0.05583367,0,1,0,2,0,1,0,1,0
-0.14415061,-0.20977503,0.025607055,1,3,2,0,0,0,2,1,0
-0.9768035,0.15249671,-1.2774446,0,2,0,0,1,1,0,1,0
0.92553276,1.1745019,0.47353107,2,0,0,2,1,1,0,0,0
0.34041756,-0.37595472,1.0028958,1,2,2,0,0,0,2,0,0
1.0019749,0.006258578,1.5322605,1,0,2,2,0,1,2,0,2
-0.9983477,-1.4694172,-1.2774446,0,1,1,1,2,1,1,0,0
0.36995256,-0.31613004,0.9214551,2,1,0,2,0,1,0,1,0
0.16411263,0.98671883,-0.1372744,0,2,0,0,1,1,0,1,2
-0.109516524,-0.12834698,0.025607055,0,3,2,0,0,0,2,1,2
-0.8711353,0.33861798,-1.1552835,0,2,0,0,1,1,0,0,2
0.22861281,-0.8213163,1.5322605,2,3,0,2,0,1,0,1,1
-0.60953647,-1.3015757,0.10704778,0,2,1,1,2,1,1,1,2
-0.9607999,-0.62854785,-1.2367243,0,3,0,0,0,0,0,1,0
-0.6037752,0.8321717,-0.91096133,0,2,0,0,1,1,0,1,2
-0.9744857,0.3269854,-1.2774446,0,1,0,0,1,1,2,0,0
-0.7385148,-1.4744025,-0.05583367,2,0,1,1,2,1,1,0,0
0.13859509,0.85543686,-0.09655403,0,1,2,0,1,1,0,1,2
1.5419267,0.9468357,1.1250569,0,2,2,0,1,1,2,1,2
1.0934937,0.06940687,1.6137012,2,0,2,2,0,0,0,0,2
-0.97044617,-1.4644318,-1.1552835,0,1,1,1,2,1,1,1,0
-0.8816425,0.1591439,-1.1552835,0,3,0,0,1,1,0,1,0
0.038467485,1.1545603,-0.30015585,0,2,0,0,1,0,2,1,0
1.3279195,0.40508986,1.5322605,2,1,2,2,0,1,0,1,2
-0.99839187,-1.4727408,-1.2774446,0,3,1,1,2,1,1,1,0
-0.8451542,-1.4910206,-0.54447806,0,3,1,1,2,0,1,0,0
-0.99881124,-1.5043149,-1.2774446,0,3,1,1,2,0,1,0,0
-0.9083079,-1.4777261,-0.8295206,2,0,1,1,2,0,1,0,0
-0.38281456,-1.5109621,1.6137012,2,0,1,1,2,1,1,0,0
-0.98923117,-1.4777261,-1.2367243,0,3,1,1,2,0,1,0,0
0.3575249,0.83383346,0.066327415,0,2,0,0,1,1,2,1,0
-0.393388,-0.80469835,0.18848851,2,3,2,2,0,1,2,1,1
1.2554947,0.83383346,1.0436162,1,0,2,2,1,1,2,1,2
-0.9873107,-0.63851863,-1.2774446,0,3,0,0,0,1,0,1,0
-0.97596467,0.215645,-1.2774446,0,2,0,0,1,0,0,1,0
-0.9851475,-0.47566256,-1.2774446,0,2,0,0,0,1,0,1,2
1.1155236,0.11261359,1.6137012,2,3,2,2,0,1,2,0,2
-0.85029745,-1.1786027,-0.8295206,0,3,0,2,0,0,0,1,1
-0.9934914,-1.5043149,-1.2367243,0,3,1,1,2,0,1,0,0
-0.60057443,-1.4993294,0.59569216,2,0,1,1,2,0,1,0,0
-0.8922822,-0.6700928,-1.0738428,0,0,0,0,0,1,0,1,0
0.4216719,-0.37096936,1.1250569,2,2,2,0,0,0,0,0,1
-0.93514985,0.63275605,-1.2367243,0,0,0,0,1,0,2,1,0
0.8940773,0.63441783,0.7585736,2,1,2,2,0,1,2,1,0
2.474641,1.4885815,1.6137012,2,1,2,0,1,0,2,0,2
1.6781453,0.68094814,1.6137012,2,2,2,0,0,1,2,1,2
-0.45331886,-1.3863273,0.799294,2,3,1,1,2,0,1,0,2
1.8649133,0.94517386,1.5729809,2,1,2,2,0,0,2,0,2
-0.7106574,-1.3032374,-0.17799476,1,3,1,1,2,0,1,0,2
0.47303808,-0.6119299,1.5729809,2,1,2,2,0,1,2,0,1
1.9363668,1.1562221,1.4508197,2,2,2,2,1,1,0,1,0
-0.976362,0.18573265,-1.2774446,0,2,0,0,1,1,0,1,0
-0.57022274,0.8122301,-0.8702409,0,2,0,0,1,0,0,1,2
-0.9331853,-0.2862177,-1.1960039,0,3,0,0,0,1,2,1,0
1.8702993,1.2808568,1.1657772,1,0,0,2,1,0,0,1,2
-0.814052,0.35689774,-1.0738428,0,2,0,0,1,1,0,1,2
0.07853177,-0.3875873,0.55497175,0,2,2,0,0,0,0,0,2
0.55259275,0.18573265,0.71785325,2,1,0,0,1,0,0,0,0
2.1986058,1.3057839,1.4915402,1,0,0,2,1,1,2,1,0
0.44813862,0.68593353,0.22920887,2,0,2,2,0,1,0,1,2
-0.9145769,0.31535283,-1.1960039,0,2,0,0,1,0,0,1,2
1.6977912,0.8255245,1.4508197,0,0,0,0,1,0,2,1,2
-0.80425113,-1.4611082,-0.30015585,0,3,1,1,2,1,1,0,0
-0.19675292,1.1628693,-0.5851984,0,0,0,2,1,0,0,0,2
-0.7414065,0.67928636,-1.0331224,0,3,0,0,1,1,0,1,2
0.72366613,-0.15992112,1.3286587,2,1,2,2,0,0,0,0,1
-0.9064316,-1.5109621,-0.8295206,1,3,1,1,2,0,1,0,0
-0.9964714,-1.3281645,-1.2774446,0,0,0,0,0,1,0,0,1
-0.853432,-1.5209329,-0.5851984,0,2,1,1,2,1,1,0,0
1.4138315,0.6726392,1.2879384,2,1,2,2,0,0,0,1,2
-0.032301717,0.7274785,-0.2594355,0,1,2,0,1,1,2,1,2
-0.84599304,0.8255245,-1.1552835,0,3,0,0,1,0,2,0,2
0.66057867,-0.341057,1.5729809,2,0,2,2,0,1,0,0,0
0.2880139,-0.16656831,0.6771329,0,1,2,0,0,0,2,1,2
-0.73354816,0.7324639,-1.0331224,0,2,0,0,1,1,0,1,2
0.68622863,1.5301265,0.10704778,1,0,2,2,1,0,2,1,2
-0.9763841,0.18407086,-1.2774446,0,2,0,0,1,1,0,1,0
-0.7524214,0.8155537,-1.0738428,0,2,0,0,1,0,0,0,0
-0.04561233,0.85211325,-0.30015585,1,2,0,0,1,1,0,1,0
-0.6903935,-0.37595472,-0.78880024,0,3,0,2,0,0,0,0,0
-0.78930706,-0.3393952,-0.9516817,0,2,2,0,0,1,0,0,2
1.670287,0.6693156,1.6137012,2,0,2,2,0,0,0,1,2
-0.27290818,0.46159095,-0.42231694,1,3,0,2,0,1,0,1,2
0.16298684,0.52640104,0.025607055,2,0,0,2,1,1,2,0,0
-0.5814363,-0.21143682,-0.5851984,0,1,2,0,0,1,2,1,2
0.20832682,0.41339883,0.066327415,1,0,0,0,0,1,0,0,2
-0.7772767,0.84214246,-1.0738428,0,2,0,0,1,0,2,1,2
-0.77275157,-1.4527992,-0.34087622,1,0,1,1,2,0,1,0,0
-0.3696364,0.95015925,-0.7073595,0,2,0,0,1,1,0,1,2
1.9563217,1.3506523,1.247218,0,2,0,2,1,1,2,0,2
-0.8919069,0.15249671,-1.1552835,0,2,0,0,1,1,0,0,0
1.0846862,0.20235063,1.369379,1,0,0,0,0,0,2,1,2
-0.62337685,-1.4760643,0.39209032,0,1,1,1,2,0,1,0,0
-0.8733427,0.5147685,-1.1552835,0,2,2,0,1,0,0,1,2
0.14040516,1.1877962,-0.2594355,0,0,0,0,1,0,0,1,2
0.4140343,0.56960773,0.26992923,1,2,0,2,1,1,0,0,0
-0.42098048,-1.4926823,1.5322605,2,1,1,1,2,0,1,0,0
-0.9371586,-0.31945363,-1.1960039,0,3,0,0,0,1,0,0,0
0.98685426,0.68759537,0.84001434,0,0,0,0,1,1,0,0,2
-0.9677973,-0.6567984,-1.2367243,0,2,0,0,0,0,0,1,0
1.304786,0.3186764,1.6137012,2,2,2,2,0,0,2,1,0
1.0762539,0.0012731871,1.6137012,2,1,2,2,0,1,2,1,1
-0.9829401,-0.30948284,-1.2774446,0,2,0,0,0,0,0,1,0
0.6576207,0.46989995,0.6364125,2,1,0,2,0,1,2,0,0
1.0562991,0.3236618,1.247218,2,1,2,2,0,1,2,0,0
-0.24160726,-1.3514296,1.6137012,2,1,1,1,2,1,1,0,2
0.368297,-0.35268956,1.0843365,2,1,0,0,0,1,0,0,2
-0.53388894,-0.9692163,-0.1372744,1,3,2,2,0,1,0,0,1
0.4381391,-0.18152449,1.0028958,1,3,2,2,0,0,0,1,0
0.46140507,1.5184939,-0.09655403,1,1,0,2,1,0,2,0,2
0.1658344,0.17243828,0.22920887,0,2,2,2,0,1,2,0,2
-0.8613786,-1.4727408,-0.7073595,0,1,1,1,2,0,1,0,0
2.0613718,1.1595457,1.5729809,0,1,0,0,1,0,2,1,2
-0.71207017,0.9800716,-1.0331224,0,2,0,0,1,1,2,1,0
-0.7596837,-1.5009913,-0.21871513,2,3,1,1,2,0,1,1,0
-0.66302174,-1.5176092,0.3106496,2,3,1,1,2,0,1,0,0
-0.96945286,0.7058751,-1.2774446,0,2,0,0,1,0,2,1,0
1.6153449,0.9003054,1.3286587,0,0,0,0,1,1,2,1,2
-0.9716161,0.543019,-1.2774446,0,2,0,0,1,0,0,1,0
-0.98795086,-0.6867108,-1.2774446,0,2,0,0,0,0,0,1,0
-0.98722243,-1.4910206,-1.1960039,0,3,1,1,2,0,1,1,0
0.29620337,1.1396041,-0.1372744,0,0,0,0,1,0,0,1,2
-0.87294537,-1.4943441,-0.7073595,1,3,1,1,2,1,1,0,0
1.5281305,0.4964887,1.5322605,2,0,2,2,0,0,2,0,2
0.04398598,0.96677727,-0.2594355,0,2,0,0,1,0,2,1,2
0.49511206,1.0631615,0.10704778,0,3,2,2,1,1,2,1,2
1.1793394,0.2721461,1.4508197,2,0,0,2,0,1,0,1,0
-0.97435325,0.33695617,-1.2774446,0,2,0,0,1,1,0,1,2
-0.99848014,-1.479388,-1.2774446,0,3,1,1,2,1,1,0,0
1.3856871,0.47987074,1.4915402,2,1,0,0,1,1,0,1,2
-0.97064483,-1.4860351,-1.1552835,0,3,1,1,2,0,1,0,0
-0.055479404,0.25552812,-0.05583367,0,0,2,2,0,1,2,1,0
1.7682735,1.4653163,1.0436162,1,2,2,0,1,1,2,1,2
1.625543,0.8903346,1.3286587,2,0,2,2,0,0,2,0,2
0.5653515,0.1657911,0.7585736,1,1,2,2,0,0,2,1,0
-0.99898785,-1.5176092,-1.2774446,0,3,1,1,2,0,1,0,0
-0.3434125,1.2077378,-0.7073595,0,2,0,0,1,1,0,1,2
0.145129,-0.45904458,0.799294,1,0,0,0,0,0,0,1,0
-0.9963169,-1.3165318,-1.2774446,0,2,0,0,0,1,0,1,1
-0.9816818,-1.4893587,-1.1960039,0,3,1,1,2,1,1,0,0
-0.68456596,-0.33108622,-0.78880024,0,2,0,0,0,0,2,1,0
-0.97649443,0.17576188,-1.2774446,0,2,0,0,1,1,0,1,0
-0.8239632,0.6676538,-1.1145631,0,3,0,0,1,0,0,1,0
-0.12757304,0.37850112,-0.30015585,0,1,2,2,0,0,0,1,0
2.2840102,1.5201557,1.4915402,2,0,0,2,1,0,2,1,2
-0.90270114,0.026200142,-1.1552835,0,3,0,2,0,1,0,0,2
-0.97954065,-1.4744025,-1.1960039,0,3,1,1,2,0,1,0,0
-0.9631838,-1.3447824,-1.1145631,0,3,0,0,0,1,0,0,1
-0.8590167,0.5097831,-1.1552835,0,2,2,0,1,1,0,1,2
-0.46958742,0.46491456,-0.66663915,0,2,0,0,1,1,0,1,0
0.52811265,0.20068882,0.71785325,1,1,2,2,0,0,0,1,0
-0.6287188,-0.29618847,-0.66663915,1,3,2,0,0,1,2,1,0
1.0295454,1.0182929,0.6771329,0,0,0,0,1,0,0,1,2
-0.428,-0.35268956,-0.3815966,0,2,0,2,0,1,2,0,0
1.0706692,1.1877962,0.59569216,0,2,0,0,1,0,0,1,2
-0.54183555,-0.53050184,-0.42231694,0,1,2,0,0,0,0,1,0
2.1812778,1.614878,1.2879384,1,2,2,2,1,0,2,0,2
-0.59251744,-0.5039131,-0.50375766,0,2,0,0,0,1,0,1,0
0.8908324,0.6460504,0.7585736,1,0,0,2,1,1,2,0,2
-0.60390764,0.20733601,-0.74807984,0,1,0,0,1,0,0,1,0
0.28545332,-0.2779087,0.7585736,1,1,0,0,0,0,2,1,1
-0.09863405,-0.48563334,0.3106496,0,3,0,0,0,1,2,1,0
-0.83767116,1.1030446,-1.1552835,0,2,0,0,1,0,2,1,2
-0.9675324,-0.51554567,-1.2367243,0,2,0,0,0,1,0,1,1
0.87610906,0.43167862,0.9214551,0,1,0,0,1,0,2,1,2
0.6495417,-0.15327394,1.2064976,2,1,0,2,0,1,2,1,0
-0.9688789,-0.34271878,-1.2367243,0,3,2,2,0,1,0,1,0
-0.9831166,-0.32277724,-1.2774446,0,3,0,2,0,1,0,0,0
-0.54488176,0.82884806,-0.8702409,0,0,0,0,1,0,0,0,0
-0.82299197,0.5978583,-1.1145631,0,2,0,2,1,0,0,1,2
-0.60064065,0.1624675,-0.74807984,0,2,0,2,0,0,0,1,0
2.0206454,1.1279715,1.5322605,2,0,0,2,1,1,2,1,2
-0.23350611,-1.3215172,1.5729809,2,0,1,1,2,0,1,0,2
-0.07764169,-0.69668156,0.6771329,0,3,0,0,0,0,0,0,0
-0.7717141,-1.4843733,-0.34087622,1,3,1,1,2,1,1,0,0
0.11031832,0.007920375,0.35136998,1,3,0,0,0,1,0,0,2
-0.84974563,-1.183588,-0.78880024,0,2,0,0,0,0,2,0,1
-0.9874873,-0.65181303,-1.2774446,0,3,0,0,0,0,0,0,0
0.7081923,0.24389555,0.8807347,1,3,0,2,0,0,2,0,2
-0.7736566,0.17243828,-1.0331224,0,0,0,0,1,1,0,1,0
1.2073293,0.24389555,1.6137012,2,1,2,2,0,1,2,0,2
0.3843448,1.3755794,-0.17799476,0,2,0,0,1,0,2,1,2
-0.9061447,-0.45904458,-1.1145631,0,1,0,0,0,0,2,1,1
-0.63918185,0.70753694,-0.91096133,0,0,0,0,1,1,0,1,2
1.7206378,0.7291403,1.5729809,1,0,2,0,1,1,2,1,0
0.19305162,-0.85953766,1.4508197,2,3,2,2,0,0,0,0,1
-0.97015923,-0.63851863,-1.2367243,0,2,0,0,0,0,0,0,0
1.8317583,1.6896589,0.8807347,1,0,2,2,1,0,2,1,2
-0.62461305,-0.16989191,-0.7073595,0,0,0,2,0,1,0,1,2
-0.96393436,-1.1819263,-1.1960039,0,3,0,0,0,0,2,0,1
1.6275076,0.9285559,1.3286587,2,1,2,0,1,1,2,1,2
-0.859105,-1.4760643,-0.7073595,1,1,1,1,2,0,1,0,0
0.15724762,0.985057,-0.09655403,1,0,0,2,1,0,0,1,0
-0.1878571,-1.2866195,1.5322605,1,1,1,1,2,0,1,0,2
-0.8277599,-1.4976677,-0.50375766,2,3,1,1,2,0,1,0,0
-0.969188,-1.339797,-1.1552835,0,2,0,0,0,0,0,1,1
1.1979257,0.51643026,1.247218,2,1,2,2,0,0,2,1,2
-0.77630544,0.6676538,-1.0738428,0,2,0,0,1,1,2,1,0
-0.52329344,-0.8528905,-0.17799476,1,2,0,0,0,0,2,1,1
-0.82356584,-1.4876969,-0.50375766,1,3,1,1,2,0,1,1,0
-0.9210446,-0.012021189,-1.1960039,0,1,2,2,0,1,0,1,0
-0.74529153,-0.48230973,-0.8295206,0,0,0,2,0,1,0,0,0
-0.90877146,-0.82297814,-1.1145631,0,3,2,2,0,1,0,0,1
-0.3790399,-0.25131994,-0.3815966,1,1,2,2,0,1,0,0,0
0.77584904,-0.23137839,1.5322605,2,0,0,2,0,0,2,0,1
1.0471604,0.25552812,1.3286587,1,1,2,0,0,1,2,0,2
1.6603096,0.6161381,1.6137012,2,0,2,2,0,0,0,1,2
-0.9940874,-1.1486903,-1.2774446,0,2,0,0,0,1,2,0,1
-0.42208418,-0.80469835,0.066327415,2,2,0,2,0,1,0,1,1
-0.071703784,1.0831031,-0.4630373,0,2,0,0,1,0,0,1,2
-0.26271,0.8172155,-0.54447806,1,0,0,2,1,0,0,1,2
0.597425,-0.455721,1.5322605,1,0,0,2,0,1,2,1,1
1.2969496,1.066485,0.9621754,0,2,2,0,1,0,2,1,2
-0.9828297,-0.30117387,-1.2774446,0,3,0,0,0,1,0,1,0
