gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0.0,0,0,-1.2367243,1,0,0,0,2,0,0,0,0,0,0,3,-0.51554567,-0.96459657,0
0,0.0,0,0,-1.2367243,1,0,1,0,0,0,0,2,0,0,1,2,0.5280628,-0.9437808,1
1,0.0,0,0,0.799294,1,2,0,2,0,0,2,2,2,2,1,1,0.4981505,0.8546532,0
0,0.0,1,1,1.4915402,1,2,0,2,0,2,2,0,0,2,1,1,-0.020330174,0.8706789,0
0,0.0,0,0,0.4328107,1,2,1,0,2,0,0,2,0,0,1,2,0.84712785,0.6873103,0
0,0.0,0,0,-0.7073595,1,0,1,2,2,0,0,2,2,0,1,1,1.141266,-0.37769338,1
0,0.0,1,0,-0.30015585,1,2,0,2,0,0,2,2,0,0,1,1,0.1574821,-0.23366062,0
0,0.0,1,0,-0.992402,1,2,1,0,2,0,0,0,0,0,1,1,0.5280628,-0.727831,1
0,0.0,1,1,1.1250569,1,0,0,2,2,2,2,0,2,1,1,1,0.3352944,0.95996815,0
1,0.0,0,0,-0.5851984,1,2,1,0,0,0,0,2,2,0,1,2,1.0199548,-0.23370478,1
0,0.0,1,1,1.247218,1,2,1,2,0,0,0,2,2,1,1,1,1.1595457,1.7788469,0
1,0.0,1,1,1.369379,1,2,1,0,2,2,2,2,2,1,1,2,1.452022,2.116645,0
0,0.0,1,1,0.066327415,1,2,2,1,1,1,1,1,1,2,0,1,-1.323179,-0.6126048,0
0,0.0,0,0,1.6137012,1,2,1,0,0,2,2,2,2,2,1,1,1.4204478,2.4598293,0
0,0.0,1,0,0.59569216,1,2,1,0,0,2,0,2,2,0,1,2,1.1877962,1.0706692,0
1,0.0,0,0,1.1250569,1,2,1,0,2,0,0,2,0,0,1,0,0.8354953,1.3989536,0
1,0.0,1,0,1.6137012,0,1,0,2,2,2,0,0,0,2,0,0,-0.75318265,0.3002429,0
0,0.0,1,1,-0.5851984,1,0,0,0,0,2,2,0,0,1,1,1,-0.3443806,-0.5848798,0
0,0.0,0,0,-0.9516817,1,2,1,0,0,0,0,2,2,0,0,2,0.985057,-0.6289616,1
0,0.0,0,0,-1.1960039,1,0,0,0,2,0,2,2,2,0,1,2,0.35025057,-0.8996549,0
1,0.0,1,0,0.59569216,1,2,1,0,2,0,0,0,0,1,1,2,0.46989995,0.6041355,0
0,0.0,0,0,-0.05583367,1,0,0,0,2,2,2,2,2,2,0,3,0.47987074,0.095043115,0
0,0.0,1,1,0.71785325,1,0,2,1,1,1,1,1,1,2,0,0,-1.4827116,-0.59644663,0
1,0.0,0,0,-0.91096133,1,0,1,2,0,2,0,0,0,0,1,3,0.5014741,-0.61567307,0
1,0.0,0,0,-1.2774446,1,0,0,0,0,0,2,0,0,0,0,3,-0.5221929,-0.9857655,0
0,0.0,1,1,0.799294,1,0,2,1,1,1,1,1,1,1,1,2,-1.4744025,-0.5259202,0
1,0.0,1,1,1.2879384,1,2,1,2,0,2,2,2,2,2,1,0,1.5567151,2.1266446,0
1,0.0,1,1,1.2064976,1,2,2,1,1,1,1,1,1,2,1,0,-1.3464441,-0.37848806,0
0,0.0,0,1,-1.1960039,1,0,0,2,0,0,2,0,2,0,1,0,-0.0086975945,-0.9291016,0
0,0.0,0,0,0.9621754,1,2,1,2,2,2,0,2,2,1,0,2,1.5201557,1.7030448,0
0,0.0,0,0,0.55497175,1,0,0,0,0,0,0,0,2,1,0,1,-0.30283567,0.1796527,0
0,0.0,1,1,-0.992402,1,0,0,2,2,0,0,0,0,0,0,3,-0.3360716,-0.7945165,0
1,0.0,0,0,-0.09655403,1,0,0,2,2,0,0,2,2,0,1,2,0.33197078,-0.07532392,0
0,0.0,1,1,0.5142514,1,2,2,1,1,1,1,1,1,1,1,1,-1.2916049,-0.47031584,0
0,0.0,0,1,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.48485613,-0.9723887,1
0,0.0,1,1,-0.8702409,0,1,0,2,0,0,0,2,2,0,0,2,-0.47233894,-0.75782955,0
0,0.0,1,0,-1.0331224,1,0,1,0,0,2,0,0,0,0,1,0,0.34526518,-0.7880488,1
0,0.0,0,0,0.39209032,1,0,1,0,2,2,2,2,2,0,1,0,1.2974749,0.9030835,0
0,0.0,1,0,0.6771329,1,0,2,1,1,1,1,1,1,2,1,0,-1.4827116,-0.5777058,0
1,0.0,0,0,-0.9516817,1,2,1,0,2,0,0,2,2,0,1,1,1.1479131,-0.6018106,0
0,0.0,1,0,0.10704778,1,0,0,2,0,0,0,2,0,1,1,0,-0.08680205,-0.029343802,0
0,0.0,1,1,0.6364125,1,0,2,1,1,1,1,1,1,2,0,0,-1.4660935,-0.540776,0
0,0.0,1,1,0.55497175,1,0,2,1,1,1,1,1,1,2,1,3,-1.4893587,-0.5981242,0
1,0.0,1,0,-0.1372744,0,1,0,0,0,0,0,2,0,0,0,3,-1.0307027,-0.5618567,0
1,0.0,1,1,-0.09655403,1,0,1,0,2,2,0,0,0,0,0,0,0.5745931,0.12727113,0
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,2,0,0,0,0,2,0.330309,-0.9744416,0
1,0.0,1,1,1.369379,1,2,0,2,0,2,2,2,2,2,1,3,0.6394032,1.5153055,0
0,0.0,0,0,1.3286587,1,2,1,2,2,2,0,2,2,0,1,1,1.5384355,2.1301765,0
1,0.0,0,0,1.6137012,1,2,1,0,2,2,0,2,2,2,1,0,1.2010906,2.2855995,0
0,0.0,0,0,-0.8295206,1,2,1,2,0,0,0,0,0,0,1,2,0.47156173,-0.5980139,1
1,0.0,1,1,1.5729809,1,2,0,2,2,0,2,0,0,1,1,1,0.06940687,1.0890348,0
1,0.0,0,0,-1.1145631,1,0,2,1,1,1,1,1,1,0,0,3,-1.4527992,-0.9571576,1
1,0.0,0,0,0.799294,1,0,2,1,1,1,1,1,1,2,0,0,-1.454461,-0.51861376,0
0,0.0,1,0,-0.30015585,1,0,1,0,2,2,0,2,2,0,1,2,1.1213244,0.10268071,1
1,0.0,0,0,-1.2774446,1,0,2,1,1,1,1,1,1,0,0,3,-1.4810498,-0.9985022,0
0,0.0,1,1,-1.2774446,1,0,2,1,1,1,1,1,1,0,0,2,-1.5059767,-0.9988333,0
1,0.0,0,0,0.22920887,1,2,1,0,0,2,2,2,0,1,0,0,1.0049986,0.58437926,0
0,0.0,1,0,1.369379,0,1,0,0,2,2,0,2,0,1,0,0,-0.63851863,0.32904947,0
1,0.0,1,0,1.4508197,1,2,1,0,2,2,2,2,2,2,1,0,1.5035377,2.3530574,1
1,0.0,0,0,-1.1145631,0,1,0,0,0,0,0,0,0,0,0,3,-1.3447824,-0.9631838,0
0,0.0,1,1,1.6137012,1,2,1,2,2,0,0,2,2,1,1,2,1.3091074,2.2167284,0
0,0.0,0,0,-0.015113308,0,1,0,2,0,0,0,0,0,1,0,3,-1.1503521,-0.59788144,0
1,0.0,0,0,0.4328107,1,2,1,0,0,0,0,2,2,1,0,3,0.9833952,0.7237544,0
1,0.0,1,1,1.6137012,1,0,2,1,1,1,1,1,1,2,0,1,-1.5076385,-0.40557283,0
1,0.0,1,0,0.9214551,1,2,1,2,2,0,0,2,0,0,1,2,1.0631615,1.3054482,1
0,0.0,0,0,0.799294,1,0,0,2,0,2,2,0,0,1,0,1,-0.226393,0.33567166,0
0,0.0,0,0,0.4328107,1,0,1,0,2,2,0,2,0,0,1,2,0.89365816,0.73823494,0
0,0.0,1,0,0.18848851,1,2,1,0,0,0,0,0,0,0,1,2,0.39013368,0.25881,1
0,0.0,1,1,1.2879384,0,1,0,0,2,0,2,2,2,2,1,2,-0.3377334,0.5039858,0
1,0.0,1,1,-1.1960039,1,0,1,2,2,0,0,2,0,0,0,2,0.83383346,-0.8977565,0
0,0.0,0,0,0.14776814,0,1,0,2,0,0,0,0,0,2,0,0,-1.1204398,-0.5101594,0
0,0.0,1,1,-0.91096133,1,2,1,2,0,0,0,2,2,0,1,2,1.1794872,-0.5373987,1
0,0.0,0,0,0.35136998,1,0,2,1,1,1,1,1,1,2,0,3,-1.4660935,-0.6387183,0
1,0.0,1,1,-0.21871513,1,2,1,0,2,0,2,0,0,0,1,1,0.67928636,-0.057532284,0
0,0.0,1,1,0.9621754,1,2,1,0,0,2,0,2,2,1,1,1,1.1645311,1.4275393,0
0,0.0,0,0,-1.0738428,1,0,2,1,1,1,1,1,1,0,0,3,-1.4644318,-0.9576433,0
1,0.0,0,0,-1.1960039,1,2,1,0,0,0,0,0,0,0,1,2,0.32033822,-0.90607846,1
0,0.0,1,1,-1.0331224,1,0,0,2,0,0,0,0,0,0,0,3,-0.46735355,-0.8527477,0
0,0.0,1,1,-1.1552835,1,0,2,1,1,1,1,1,1,0,0,3,-1.4594464,-0.97965103,0
1,0.0,0,0,0.025607055,1,0,1,2,0,0,2,2,0,2,1,2,0.80392116,0.32922605,0
0,0.0,0,0,-0.21871513,1,2,1,0,0,2,0,0,0,0,1,2,0.44164938,-0.064640105,1
1,0.0,1,0,1.6137012,1,2,2,1,1,1,1,1,1,2,1,0,-1.3697094,-0.2463311,0
1,0.0,0,0,-1.2774446,1,0,2,1,1,1,1,1,1,0,0,3,-1.4960059,-0.99870086,0
1,0.0,0,0,1.5729809,0,1,0,2,2,0,0,2,2,1,1,2,-0.2762469,0.7520312,0
0,0.0,0,0,-0.78880024,1,2,1,0,0,0,0,0,2,0,1,2,0.7042133,-0.47073525,0
0,0.0,1,1,-0.30015585,0,1,0,2,2,2,0,2,2,0,1,1,-0.20478964,-0.34403056,1
1,0.0,0,0,1.4100994,1,0,0,0,0,0,2,0,0,2,0,0,-0.47233894,0.43184802,0
1,0.0,0,0,-1.2774446,0,1,0,0,0,0,0,0,2,0,1,2,-0.9742017,-0.9917697,1
1,0.0,0,0,-1.2367243,1,0,0,0,0,0,0,0,0,0,0,2,-0.67840177,-0.97154987,1
0,0.0,0,0,0.4328107,1,2,2,1,1,1,1,1,1,2,1,1,-1.2982521,-0.48285386,0
0,0.0,0,0,-0.3815966,1,0,1,2,0,0,0,0,0,0,1,0,0.3402798,-0.22224838,0
0,0.0,1,1,1.2879384,1,0,2,1,1,1,1,1,1,2,0,3,-1.4810498,-0.44331935,0
1,0.0,0,1,1.0028958,1,0,2,1,1,1,1,1,1,2,1,3,-1.5009913,-0.49064597,0
0,0.0,1,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,3,0.18905625,-0.9763179,1
0,0.0,1,1,1.6137012,1,2,0,2,2,2,2,2,2,2,1,1,0.7740088,1.8293742,0
0,0.0,0,0,-0.992402,1,2,0,2,0,0,2,0,2,0,0,2,0.2123214,-0.75858,1
0,0.0,1,0,1.1657772,1,2,1,0,2,0,0,2,2,2,1,0,1.206076,1.6287658,0
1,0.0,0,0,1.2879384,1,2,1,2,2,0,0,0,0,1,1,1,0.649374,1.3275883,0
1,0.0,1,0,1.5729809,1,2,2,1,1,1,1,1,1,2,0,0,-1.3564149,-0.23209338,0
0,0.0,1,1,1.3286587,1,2,1,2,2,0,2,2,0,2,1,1,1.1396041,1.825423,0
1,0.0,0,0,-1.1960039,1,0,2,1,1,1,1,1,1,1,0,3,-1.5009913,-0.9803353,0
1,0.0,0,0,-1.2774446,1,0,0,0,0,0,0,0,0,0,1,2,-0.6351951,-0.98726654,1
1,0.0,0,1,-0.09655403,1,0,0,0,2,2,0,2,0,1,0,1,-0.0086975945,-0.15538627,0
1,0.0,1,1,-0.7073595,1,0,0,0,2,2,2,0,2,0,1,3,0.1574821,-0.5344187,0
0,0.0,1,1,-0.992402,1,0,0,0,0,0,2,2,2,0,1,2,0.12590796,-0.75827104,0
1,0.0,0,0,-1.0331224,1,2,1,0,0,0,0,2,2,0,0,3,1.0049986,-0.71803015,1
0,0.0,1,1,1.5322605,1,2,1,2,2,2,0,2,2,1,1,1,1.4420512,2.493757,0
1,0.0,1,1,1.2064976,1,0,0,2,2,2,2,2,2,2,0,2,0.7091987,1.2950071,0
0,0.0,1,1,-1.0738428,1,0,2,1,1,1,1,1,1,0,0,3,-1.4976677,-0.95731217,0
0,0.0,1,1,-0.74807984,1,0,1,0,0,0,0,0,2,0,1,0,0.5363718,-0.49848226,0
0,0.0,0,0,-0.42231694,1,2,1,0,0,0,0,2,0,0,1,0,0.6443886,-0.20306608,0
1,0.0,1,1,-0.42231694,1,0,2,1,1,1,1,1,1,1,0,3,-1.4827116,-0.82204276,0
1,0.0,1,1,-0.66663915,1,0,0,2,0,2,0,2,0,2,0,3,-0.01700658,-0.5553448,0
1,0.0,0,0,-0.91096133,1,2,2,1,1,1,1,1,1,2,0,0,-1.2982521,-0.8963438,0
0,0.0,0,1,-0.78880024,1,0,0,2,2,0,0,0,0,0,1,2,-0.29120308,-0.66988677,0
0,0.0,1,0,-0.50375766,1,2,1,2,0,0,0,0,0,0,0,2,0.58622575,-0.30442983,1
0,0.0,0,0,-1.2367243,1,0,1,0,0,0,0,0,0,0,1,2,0.16412929,-0.94773203,0
1,0.0,0,0,0.84001434,1,2,0,0,2,2,2,0,2,2,1,0,0.30372024,0.7400671,0
0,0.0,1,1,-0.8702409,1,0,2,1,1,1,1,1,1,1,0,3,-1.4677553,-0.904158,0
1,0.0,1,0,1.4915402,1,0,2,1,1,1,1,1,1,2,0,3,-1.4910206,-0.40548456,0
0,0.0,0,0,-1.1552835,1,0,1,0,0,0,0,0,0,0,1,0,0.20401242,-0.88689613,1
1,0.0,1,0,1.6137012,1,2,0,2,2,2,2,2,2,2,1,0,0.8072447,1.7537929,0
1,0.0,1,0,1.0436162,0,1,0,0,2,2,0,0,2,0,1,2,-0.64682764,0.163031,1
0,0.0,1,1,-0.66663915,1,0,2,1,1,1,1,1,1,0,0,2,-1.4744025,-0.8655285,0
1,0.0,1,0,0.4328107,1,0,1,2,0,2,2,0,0,1,1,0,0.64771223,0.5550871,0
0,0.0,1,0,-1.2367243,1,2,1,0,0,2,2,2,2,0,1,2,1.3174164,-0.9002288,1
1,0.0,1,0,-0.74807984,1,0,0,0,2,2,2,2,2,2,0,3,0.5712696,-0.4857014,0
0,0.0,1,0,0.84001434,1,0,1,0,0,2,0,2,2,1,1,0,1.0000132,1.2000669,1
0,0.0,0,0,-0.015113308,1,0,2,1,1,1,1,1,1,1,0,0,-1.4694172,-0.71844953,0
0,0.0,1,0,0.066327415,1,2,2,1,1,1,1,1,1,0,0,2,-1.331488,-0.66297764,0
0,0.0,0,0,-0.7073595,1,2,1,0,0,0,0,0,0,0,1,3,0.322,-0.5016168,1
0,0.0,0,0,-1.0331224,1,0,1,2,0,0,0,0,0,0,0,0,0.3884719,-0.7850909,1
0,0.0,1,1,-0.7073595,1,2,1,0,2,2,0,2,2,0,1,0,1.3489906,-0.3190428,0
1,0.0,1,0,1.1657772,1,0,2,1,1,1,1,1,1,1,1,1,-1.4694172,-0.45468748,0
0,0.0,0,0,-1.2774446,0,1,0,0,2,0,0,0,0,0,0,0,-1.1569993,-0.9941978,1
0,0.0,0,0,-1.2774446,1,0,0,0,0,0,0,0,0,0,0,3,-0.64682764,-0.9874211,0
1,0.0,0,0,-0.992402,1,2,1,0,0,0,0,0,2,0,0,0,0.6560212,-0.71487355,1
1,0.0,1,1,0.025607055,1,0,0,2,0,2,0,2,2,1,0,1,0.33197078,0.07566216,0
0,0.0,0,0,-0.78880024,1,0,1,0,2,2,0,0,0,0,1,2,0.4815325,-0.5166491,1
0,0.0,1,0,-1.2774446,0,1,0,0,0,0,0,0,0,0,1,2,-1.3281645,-0.9964714,1
1,0.0,0,0,-0.50375766,1,0,0,0,2,0,0,0,0,0,1,3,-0.43079403,-0.55541104,0
1,0.0,0,0,-1.1960039,0,1,0,0,0,0,2,0,0,0,0,2,-1.1420431,-0.97115254,0
0,0.0,0,0,-0.78880024,1,0,2,1,1,1,1,1,1,1,0,2,-1.4993294,-0.8993459,0
0,0.0,1,0,0.3106496,1,2,0,0,2,0,0,0,0,0,0,1,-0.2712615,0.04290436,0
1,0.0,1,1,0.4328107,1,2,0,2,0,0,2,0,2,1,1,1,0.23724836,0.39354965,0
1,0.0,1,0,-1.0738428,1,0,1,0,2,2,0,0,2,0,1,2,0.8720548,-0.77299434,1
0,0.0,1,1,1.4915402,1,0,2,1,1,1,1,1,1,2,0,0,-1.4960059,-0.40020886,0
0,0.0,1,1,1.6137012,1,2,1,2,2,2,0,2,2,2,0,1,1.4935669,2.5815012,0
1,0.0,1,1,1.0843365,1,0,2,1,1,1,1,1,1,2,0,1,-1.5109621,-0.4808672,0
0,0.0,1,0,-0.50375766,1,0,1,2,2,0,2,2,0,0,1,2,1.0565143,-0.16788015,0
1,0.0,1,1,-0.34087622,1,2,2,1,1,1,1,1,1,2,1,0,-1.3514296,-0.7480949,0
1,0.0,0,0,1.0843365,1,2,1,0,2,2,2,2,2,0,1,2,1.5484062,1.8709174,0
1,0.0,1,1,1.6137012,1,2,1,0,2,2,2,2,2,2,1,0,1.5783186,2.5428054,0
1,0.0,0,1,-1.2774446,1,0,2,1,1,1,1,1,1,0,0,3,-1.46277,-0.9982594,0
0,0.0,1,0,-0.21871513,1,0,1,2,0,0,2,2,2,1,1,1,1.2343266,0.17625332,0
0,0.0,0,0,-0.74807984,1,0,1,0,2,0,2,0,0,0,1,1,0.50812125,-0.5163622,0
1,0.0,1,1,1.5729809,1,2,1,2,0,2,0,2,2,2,0,2,1.3556378,2.2619581,0
1,0.0,0,1,-0.78880024,1,0,1,0,0,0,0,2,0,0,1,1,0.44995838,-0.55095214,0
1,0.0,0,0,0.47353107,1,0,1,0,0,0,0,0,0,0,0,1,0.13587874,0.2988964,0
0,0.0,0,0,0.025607055,1,0,1,0,2,0,2,0,0,1,1,0,0.5047977,0.17788678,0
1,0.0,1,1,1.6137012,0,1,0,2,2,2,2,0,2,2,1,1,-0.30948284,0.83761203,0
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,2,0,0,2,0.50313586,-0.97214586,1
0,0.0,0,0,-0.54447806,1,0,1,2,0,2,2,2,2,0,1,2,1.3905355,-0.15339962,1
1,0.0,1,0,1.2879384,1,0,1,0,2,2,2,2,2,1,1,1,1.2526063,1.9302303,0
1,0.0,0,0,-1.2367243,1,0,0,0,0,0,0,0,0,0,1,1,-0.6235625,-0.97011507,1
0,0.0,0,0,-1.2774446,0,1,0,0,0,0,0,0,0,0,0,2,-1.3132082,-0.99627274,0
1,0.0,0,1,1.1657772,1,0,2,1,1,1,1,1,1,2,0,3,-1.4960059,-0.5111086,0
0,0.0,1,1,-0.1372744,1,0,2,1,1,1,1,1,1,1,0,2,-1.4876969,-0.768999,0
1,0.0,1,0,-0.3815966,1,2,1,0,0,0,0,0,2,0,0,2,0.7324639,-0.13512234,0
0,0.0,1,0,1.0028958,0,1,0,2,2,2,0,2,2,0,1,0,-0.19980425,0.5101445,0
1,0.0,1,1,1.6137012,0,1,0,2,2,2,2,0,0,2,0,1,-0.6484894,0.378738,0
1,0.0,1,0,1.369379,0,1,0,2,2,2,2,2,0,2,1,0,-0.2712615,0.66543496,0
1,0.0,1,1,1.3286587,1,2,0,0,2,2,2,2,2,2,1,0,0.6460504,1.3432388,0
0,0.0,0,0,-0.992402,1,0,1,0,0,0,0,2,0,0,1,0,0.5064595,-0.73167187,0
0,0.0,0,0,-1.1552835,1,0,1,0,0,0,0,0,0,0,1,2,0.17908546,-0.88894904,1
0,0.0,1,0,1.5729809,1,2,2,1,1,1,1,1,1,2,0,0,-1.3298262,-0.19646595,0
1,0.0,1,1,-1.2774446,1,0,2,1,1,1,1,1,1,1,1,2,-1.4810498,-0.9985022,0
1,0.0,1,0,-1.1552835,1,0,0,0,0,0,2,0,0,0,0,3,-0.48895693,-0.9282407,1
0,0.0,0,0,-0.8295206,1,0,2,1,1,1,1,1,1,1,1,0,-1.5093002,-0.9105815,0
1,0.0,0,0,-0.34087622,0,1,0,2,0,0,0,2,2,1,1,3,-0.47067717,-0.4384631,0
0,0.0,1,1,-0.05583367,1,0,0,2,0,2,2,2,2,1,1,3,0.54468083,0.11647696,0
0,0.0,1,0,-1.2774446,1,0,0,0,0,0,0,2,0,0,0,3,-0.31779185,-0.9830504,1
1,0.0,0,0,-0.09655403,1,2,1,0,0,0,2,0,2,0,1,1,0.8354953,0.19479546,0
0,0.0,1,1,0.59569216,1,2,0,2,2,0,2,2,2,2,1,1,0.68261,0.8058476,0
1,0.0,0,0,0.8807347,1,2,1,2,2,0,2,2,2,2,1,1,1.4370658,1.5357902,0
1,0.0,0,0,0.71785325,1,0,1,2,2,0,2,0,2,0,1,1,0.95514464,1.088505,0
1,0.0,0,0,-1.2774446,1,0,1,2,0,0,0,0,2,0,1,3,0.6593448,-0.9700709,1
0,0.0,0,0,1.6137012,1,0,2,1,1,1,1,1,1,2,0,1,-1.479388,-0.31566548,0
0,0.0,0,0,-0.1372744,1,2,2,1,1,1,1,1,1,0,0,2,-1.3165318,-0.6975013,0
1,0.0,0,0,-1.2367243,1,2,0,0,2,0,0,0,0,0,1,3,-0.3443806,-0.9570473,1
0,0.0,0,0,-0.91096133,0,1,0,0,0,0,2,0,0,2,1,3,-1.1686319,-0.8753956,0
1,0.0,1,0,-0.5851984,1,2,1,0,0,0,0,0,0,0,1,2,0.27879328,-0.43086964,0
0,0.0,0,0,-0.8702409,1,0,1,0,2,0,0,2,2,0,1,2,1.0049986,-0.5128303,1
1,0.0,0,0,-0.66663915,1,0,2,1,1,1,1,1,1,2,0,3,-1.4960059,-0.88188535,0
0,0.0,0,0,1.6137012,1,2,0,0,2,2,2,2,2,2,0,0,0.72581667,1.796197,0
1,0.0,0,0,1.6137012,1,2,1,0,2,2,2,2,2,2,0,0,1.476949,2.4706898,0
0,0.0,1,1,0.35136998,1,0,0,2,0,0,2,2,2,1,1,1,0.330309,0.3998628,0
0,0.0,1,0,1.3286587,1,0,1,2,2,2,0,0,2,0,0,2,0.985057,1.6971511,0
0,0.0,0,0,-0.78880024,1,0,0,0,2,2,0,0,0,0,1,2,-0.33108622,-0.68456596,0
1,0.0,0,0,-1.1552835,1,0,1,2,0,0,0,0,0,0,0,2,0.35191235,-0.8867195,0
1,0.0,0,0,0.35136998,1,2,0,0,0,2,0,0,2,1,0,3,0.007920375,0.11031832,0
