gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Predicted,Churn_Probability,Risk_Segment,Retention_Offer,Priority_Score,Communication_Channel,Channel_Cost,Channel_Effectiveness,Channel_Score,Test_Group
1,0.0,1,0,-1.2774446,1,0,1,0,0,0,0,2,2,0,0,2,0.8637458,-0.96735585,1,1,0.9179,High Risk,Upgrade to 2-year contract with 20% discount,91.8,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-0.91096133,1,2,1,0,0,2,0,2,2,0,1,2,1.1911198,-0.53936327,1,1,0.9182,High Risk,Upgrade to 2-year contract with 20% discount,91.8,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.0331224,1,2,1,0,0,2,0,2,2,0,1,0,1.1063682,-0.6926451,1,1,0.9153,High Risk,Upgrade to 2-year contract with 20% discount,91.5,Call,5.0,0.45,4,Treatment
0,0.0,1,0,-1.2774446,1,0,1,0,2,0,0,0,0,0,1,3,0.3868101,-0.97369105,1,1,0.9138,High Risk,Upgrade to 2-year contract with 20% discount,91.4,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-0.8702409,1,2,1,0,0,2,0,2,2,0,0,2,1.1961052,-0.50865835,1,1,0.9141,High Risk,Upgrade to 2-year contract with 20% discount,91.4,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,2,0,1,2,0.4815325,-0.97243285,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Control
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.47654712,-0.9724991,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.47156173,-0.9725653,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,2,1,0,2,0,0,0,0,0,1,3,0.51310664,-0.9720134,1,1,0.9106,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.47488534,-0.9725211,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.4898415,-0.97232246,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Control
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.4915033,-0.9723004,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.5147685,-0.97199136,1,1,0.9105,High Risk,Upgrade to 2-year contract with 20% discount,91.0,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2367243,1,2,1,0,0,0,0,2,2,0,1,2,0.97176266,-0.92720324,1,1,0.9098,High Risk,Upgrade to 2-year contract with 20% discount,91.0,Call,5.0,0.45,4,Treatment
1,0.0,1,0,1.6137012,1,2,1,2,2,2,2,2,2,1,1,0,1.762778,2.8267431,1,1,0.909,High Risk,Upgrade to 2-year contract with 20% discount,90.9,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-0.8702409,1,2,1,0,0,2,0,2,2,0,1,0,1.099721,-0.5194084,1,1,0.9093,High Risk,Upgrade to 2-year contract with 20% discount,90.9,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.0331224,1,2,1,0,2,0,0,2,2,0,0,2,1.1645311,-0.7101939,1,1,0.9089,High Risk,Upgrade to 2-year contract with 20% discount,90.9,Call,5.0,0.45,4,Control
0,0.0,0,0,-1.2774446,1,0,1,0,0,2,0,0,0,0,1,2,0.3851483,-0.9737131,1,1,0.908,High Risk,Upgrade to 2-year contract with 20% discount,90.8,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-0.8295206,1,2,1,0,0,2,0,2,2,0,1,0,1.1761637,-0.49340522,1,1,0.9074,High Risk,Upgrade to 2-year contract with 20% discount,90.7,Call,5.0,0.45,4,Treatment
1,0.0,1,0,-1.1552835,1,2,1,0,2,0,0,2,2,0,1,2,1.1778255,-0.8219103,1,1,0.9072,High Risk,Upgrade to 2-year contract with 20% discount,90.7,Call,5.0,0.45,4,Treatment
1,0.0,1,0,-1.2774446,0,0,1,0,0,2,0,0,0,0,0,2,0.3801629,-0.9737793,1,1,0.907,High Risk,Upgrade to 2-year contract with 20% discount,90.7,Call,5.0,0.45,3,Control
1,0.0,0,0,-1.1145631,1,2,1,0,0,2,0,2,0,0,1,2,0.92190874,-0.80756223,1,1,0.907,High Risk,Upgrade to 2-year contract with 20% discount,90.7,Call,5.0,0.45,4,Treatment
1,0.0,0,1,-1.1552835,1,2,1,0,2,0,0,2,2,0,0,2,1.2276794,-0.84647864,1,1,0.9049,High Risk,Upgrade to 2-year contract with 20% discount,90.5,Call,5.0,0.45,4,Control
0,0.0,1,1,-0.91096133,1,2,1,2,0,0,0,2,2,0,1,2,1.1794872,-0.5373987,1,1,0.9048,High Risk,Upgrade to 2-year contract with 20% discount,90.5,Call,5.0,0.45,4,Treatment
0,0.0,1,0,-1.1552835,1,2,1,2,0,0,0,2,2,0,1,2,1.1578839,-0.85393965,1,1,0.9043,High Risk,Upgrade to 2-year contract with 20% discount,90.4,Call,5.0,0.45,4,Treatment
1,0.0,1,0,-1.1960039,1,2,1,0,0,0,0,2,2,0,0,2,0.9917042,-0.8840044,1,1,0.904,High Risk,Upgrade to 2-year contract with 20% discount,90.4,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.1608057,-0.9766931,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment
0,0.0,0,1,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.1624675,-0.97667104,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.1624675,-0.97667104,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,2,0,0,1,2,0.6593448,-0.9700709,0,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Control
0,0.0,0,0,-1.0738428,1,2,1,0,2,0,0,2,2,0,1,2,1.1130154,-0.75992656,1,1,0.9032,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,2,0,1,2,0.6726392,-0.96989435,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.1608057,-0.9766931,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.16911468,-0.97658277,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.1608057,-0.9766931,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.1552835,1,2,1,0,0,0,0,2,2,0,0,2,0.98173344,-0.820034,1,1,0.9031,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment
0,0.0,1,1,-1.1552835,1,2,1,0,2,0,0,2,2,0,1,2,1.1030446,-0.83767116,1,1,0.9032,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,2,0,0,1,3,0.66100657,-0.97004884,1,1,0.9032,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment
0,0.0,1,1,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.16745289,-0.9766048,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Control
0,0.0,0,0,-1.2774446,0,2,1,0,0,0,0,0,2,0,0,2,0.67430097,-0.96987224,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,3,Treatment
1,0.0,1,0,-1.2774446,1,2,1,0,0,0,0,2,0,0,1,2,0.70753694,-0.96943074,1,1,0.9016,High Risk,Upgrade to 2-year contract with 20% discount,90.2,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,2,0,1,2,0.72581667,-0.969188,1,1,0.9016,High Risk,Upgrade to 2-year contract with 20% discount,90.2,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,2,1,0,0,2,0,2,0,0,1,2,0.7989358,-0.9682167,1,1,0.9016,High Risk,Upgrade to 2-year contract with 20% discount,90.2,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.5047977,-0.9721238,1,1,0.9011,High Risk,Upgrade to 2-year contract with 20% discount,90.1,Call,5.0,0.45,4,Control
0,0.0,1,1,-1.2774446,1,2,1,2,0,2,0,2,2,0,1,2,1.2526063,-0.9621905,1,1,0.9003,High Risk,Upgrade to 2-year contract with 20% discount,90.0,Call,5.0,0.45,4,Treatment
0,0.0,1,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,0,0,0.48485613,-0.9723887,1,1,0.9004,High Risk,Upgrade to 2-year contract with 20% discount,90.0,Call,5.0,0.45,4,Control
1,0.0,0,0,-0.992402,1,2,1,0,0,2,0,2,2,0,1,2,1.1911198,-0.6456716,1,1,0.8989,High Risk,Upgrade to 2-year contract with 20% discount,89.9,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,0,0,1,0,0,0,0,0,0,0,0,2,0.14917313,-0.97684765,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,3,Treatment
0,0.0,1,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.13920234,-0.9769801,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.14751132,-0.9768697,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Control
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,2,0,1,3,0.68759537,-0.9696957,1,1,0.8985,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.1574821,-0.97673726,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment
0,0.0,1,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.1591439,-0.9767152,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.14751132,-0.9768697,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Control
0,0.0,1,0,-1.1552835,1,2,1,0,2,0,0,2,0,0,1,2,0.89365816,-0.8461034,1,1,0.8981,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment
0,0.0,1,1,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.14917313,-0.97684765,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,2,0,0,0,2,0.6959043,-0.9695853,1,1,0.8969,High Risk,Upgrade to 2-year contract with 20% discount,89.7,Call,5.0,0.45,4,Control
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,2,0,1,2,0.85709864,-0.9674441,1,1,0.8971,High Risk,Upgrade to 2-year contract with 20% discount,89.7,Call,5.0,0.45,4,Control
1,0.0,0,0,-1.0331224,1,2,1,0,0,0,0,2,2,0,0,2,0.96677727,-0.7268156,1,1,0.897,High Risk,Upgrade to 2-year contract with 20% discount,89.7,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,2,0,0,2,0.8587604,-0.96742207,1,1,0.8971,High Risk,Upgrade to 2-year contract with 20% discount,89.7,Call,5.0,0.45,4,Treatment
0,0.0,0,1,-1.2367243,1,2,1,0,0,0,0,2,2,0,0,0,0.9784098,-0.92186135,1,1,0.8952,High Risk,Upgrade to 2-year contract with 20% discount,89.5,Call,5.0,0.45,4,Control
0,0.0,0,0,-1.2774446,0,0,1,0,0,0,0,2,0,0,0,2,0.4915033,-0.9723004,1,1,0.8928,High Risk,Upgrade to 2-year contract with 20% discount,89.3,Call,5.0,0.45,3,Treatment
0,0.0,0,0,-1.1960039,1,2,1,0,0,0,0,2,2,0,1,2,1.058176,-0.87855214,1,1,0.8912,High Risk,Upgrade to 2-year contract with 20% discount,89.1,Call,5.0,0.45,4,Treatment
0,0.0,1,0,-0.8295206,0,2,1,0,2,2,0,2,0,0,0,2,1.10803,-0.53936327,1,1,0.8892,High Risk,Upgrade to 2-year contract with 20% discount,88.9,Call,5.0,0.45,3,Control
1,0.0,0,0,-1.1960039,1,2,1,0,0,2,0,2,2,0,1,0,1.222694,-0.87570465,1,1,0.8891,High Risk,Upgrade to 2-year contract with 20% discount,88.9,Call,5.0,0.45,4,Control
1,0.0,0,0,-1.2774446,0,2,1,0,0,0,0,0,0,0,0,2,0.35025057,-0.9741767,1,1,0.8879,High Risk,Upgrade to 2-year contract with 20% discount,88.8,Call,5.0,0.45,3,Treatment
1,0.0,1,0,-1.0331224,1,2,1,0,0,2,0,2,2,0,0,2,1.2359884,-0.698009,1,1,0.8868,High Risk,Upgrade to 2-year contract with 20% discount,88.7,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,0,0,0,2,0.35523593,-0.9741105,1,1,0.8866,High Risk,Upgrade to 2-year contract with 20% discount,88.7,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,0,0,1,2,0.35191235,-0.9741546,1,1,0.8866,High Risk,Upgrade to 2-year contract with 20% discount,88.7,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.0738428,1,0,1,0,0,2,2,2,2,0,0,3,1.1695164,-0.7656437,1,1,0.8862,High Risk,Upgrade to 2-year contract with 20% discount,88.6,Call,5.0,0.45,4,Treatment
0,0.0,1,1,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,3,0.50812125,-0.97207963,1,1,0.8864,High Risk,Upgrade to 2-year contract with 20% discount,88.6,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-0.91096133,1,2,1,2,0,0,0,2,2,0,1,2,1.1279715,-0.57774997,1,1,0.8857,High Risk,Upgrade to 2-year contract with 20% discount,88.6,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,0,0,1,0,2,0,0,0,0,0,1,2,0.36686853,-0.9739559,1,1,0.8859,High Risk,Upgrade to 2-year contract with 20% discount,88.6,Call,5.0,0.45,3,Treatment
0,0.0,0,1,-1.2774446,1,0,1,0,0,0,0,0,2,0,0,2,0.46159095,-0.97269773,1,1,0.8848,High Risk,Upgrade to 2-year contract with 20% discount,88.5,Call,5.0,0.45,4,Treatment
0,0.0,1,0,-0.8702409,0,2,1,0,0,0,0,2,2,0,0,2,0.97176266,-0.5311076,1,1,0.8848,High Risk,Upgrade to 2-year contract with 20% discount,88.5,Call,5.0,0.45,3,Treatment
0,0.0,1,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.46657634,-0.9726315,1,1,0.8848,High Risk,Upgrade to 2-year contract with 20% discount,88.5,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,0,2,0.44164938,-0.9729626,1,1,0.8848,High Risk,Upgrade to 2-year contract with 20% discount,88.5,Call,5.0,0.45,4,Treatment
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.45494378,-0.972786,1,1,0.8848,High Risk,Upgrade to 2-year contract with 20% discount,88.5,Call,5.0,0.45,4,Treatment
1,0.0,1,0,-1.2367243,1,2,1,0,0,2,0,2,0,0,1,2,0.887011,-0.9317284,0,1,0.8837,High Risk,Upgrade to 2-year contract with 20% discount,88.4,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.1624675,-0.97667104,1,1,0.8845,High Risk,Upgrade to 2-year contract with 20% discount,88.4,Call,5.0,0.45,4,Control
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.17077649,-0.97656065,1,1,0.8845,High Risk,Upgrade to 2-year contract with 20% discount,88.4,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.1624675,-0.97667104,1,1,0.8845,High Risk,Upgrade to 2-year contract with 20% discount,88.4,Call,5.0,0.45,4,Treatment
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.16911468,-0.97658277,1,1,0.8845,High Risk,Upgrade to 2-year contract with 20% discount,88.4,Call,5.0,0.45,4,Treatment
