gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Predicted,Churn_Probability,Risk_Segment,Retention_Offer,Priority_Score,Communication_Channel,Channel_Cost,Channel_Effectiveness,Channel_Score,Test_Group,Offer_Cost,Estimated_Retention_Rate,Expected_Value,ROI_Score,Included_in_Optimized_Plan
1,0.0,0,0,-0.8295206,0,2,1,0,0,0,2,2,2,0,0,3,1.1695164,-0.50733393,1,1,0.9208,High Risk,Upgrade to 2-year contract with 20% discount,92.1,Call,5.0,0.45,3,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2367243,1,2,1,0,0,0,0,2,2,0,1,2,0.96677727,-0.9319933,1,1,0.9202,High Risk,Upgrade to 2-year contract with 20% discount,92.0,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.1145631,1,2,1,0,0,0,0,2,2,0,1,3,0.96843904,-0.7924857,1,1,0.9197,High Risk,Upgrade to 2-year contract with 20% discount,92.0,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2367243,1,2,1,0,0,0,0,2,2,0,1,2,0.96677727,-0.920559,1,1,0.9204,High Risk,Upgrade to 2-year contract with 20% discount,92.0,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,0,0,1,2,0.37351573,-0.97386765,1,1,0.9196,High Risk,Upgrade to 2-year contract with 20% discount,92.0,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,2,1,0,2,0,0,0,2,0,0,1,0.8670694,-0.9673117,1,1,0.9195,High Risk,Upgrade to 2-year contract with 20% discount,92.0,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,1,-1.2774446,1,0,1,0,0,0,0,2,0,0,0,2,0.48485613,-0.9723887,1,1,0.9193,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,1,-1.2774446,1,0,1,0,0,0,0,0,2,0,0,2,0.4931651,-0.9722783,1,1,0.9193,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,2,1,0,2,0,0,0,0,0,0,3,0.47820893,-0.97247696,0,1,0.9194,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,2,0,1,2,0.4964887,-0.9722342,1,1,0.9193,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.49482688,-0.97225624,1,1,0.9193,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.47987074,-0.9724549,1,1,0.9193,High Risk,Upgrade to 2-year contract with 20% discount,91.9,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,2,0,1,2,0.85709864,-0.9674441,1,1,0.9179,High Risk,Upgrade to 2-year contract with 20% discount,91.8,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,2,0,0,0,0,0,0,2,0.36354494,-0.9740001,1,1,0.9184,High Risk,Upgrade to 2-year contract with 20% discount,91.8,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,1,-1.2774446,1,0,1,0,0,0,0,2,2,0,1,2,0.8670694,-0.9673117,1,1,0.9179,High Risk,Upgrade to 2-year contract with 20% discount,91.8,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,1,0,-1.2774446,1,0,1,0,0,0,0,2,2,0,0,2,0.8637458,-0.96735585,1,1,0.9179,High Risk,Upgrade to 2-year contract with 20% discount,91.8,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-0.91096133,1,2,1,0,0,2,0,2,2,0,1,2,1.1911198,-0.53936327,1,1,0.9182,High Risk,Upgrade to 2-year contract with 20% discount,91.8,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.0331224,1,2,1,0,0,2,0,2,2,0,1,0,1.1063682,-0.6926451,1,1,0.9153,High Risk,Upgrade to 2-year contract with 20% discount,91.5,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,1,0,-1.2774446,1,0,1,0,2,0,0,0,0,0,1,3,0.3868101,-0.97369105,1,1,0.9138,High Risk,Upgrade to 2-year contract with 20% discount,91.4,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-0.8702409,1,2,1,0,0,2,0,2,2,0,0,2,1.1961052,-0.50865835,1,1,0.9141,High Risk,Upgrade to 2-year contract with 20% discount,91.4,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,2,0,1,2,0.4815325,-0.97243285,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.47654712,-0.9724991,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.47156173,-0.9725653,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,2,1,0,2,0,0,0,0,0,1,3,0.51310664,-0.9720134,1,1,0.9106,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.47488534,-0.9725211,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.4898415,-0.97232246,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.4915033,-0.9723004,1,1,0.9108,High Risk,Upgrade to 2-year contract with 20% discount,91.1,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.5147685,-0.97199136,1,1,0.9105,High Risk,Upgrade to 2-year contract with 20% discount,91.0,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2367243,1,2,1,0,0,0,0,2,2,0,1,2,0.97176266,-0.92720324,1,1,0.9098,High Risk,Upgrade to 2-year contract with 20% discount,91.0,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,1,0,1.6137012,1,2,1,2,2,2,2,2,2,1,1,0,1.762778,2.8267431,1,1,0.909,High Risk,Upgrade to 2-year contract with 20% discount,90.9,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-0.8702409,1,2,1,0,0,2,0,2,2,0,1,0,1.099721,-0.5194084,1,1,0.9093,High Risk,Upgrade to 2-year contract with 20% discount,90.9,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.0331224,1,2,1,0,2,0,0,2,2,0,0,2,1.1645311,-0.7101939,1,1,0.9089,High Risk,Upgrade to 2-year contract with 20% discount,90.9,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,2,0,0,0,0,1,2,0.3851483,-0.9737131,1,1,0.908,High Risk,Upgrade to 2-year contract with 20% discount,90.8,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-0.8295206,1,2,1,0,0,2,0,2,2,0,1,0,1.1761637,-0.49340522,1,1,0.9074,High Risk,Upgrade to 2-year contract with 20% discount,90.7,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,1,0,-1.1552835,1,2,1,0,2,0,0,2,2,0,1,2,1.1778255,-0.8219103,1,1,0.9072,High Risk,Upgrade to 2-year contract with 20% discount,90.7,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,1,0,-1.2774446,0,0,1,0,0,2,0,0,0,0,0,2,0.3801629,-0.9737793,1,1,0.907,High Risk,Upgrade to 2-year contract with 20% discount,90.7,Call,5.0,0.45,3,Control,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.1145631,1,2,1,0,0,2,0,2,0,0,1,2,0.92190874,-0.80756223,1,1,0.907,High Risk,Upgrade to 2-year contract with 20% discount,90.7,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,1,-1.1552835,1,2,1,0,2,0,0,2,2,0,0,2,1.2276794,-0.84647864,1,1,0.9049,High Risk,Upgrade to 2-year contract with 20% discount,90.5,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,1,1,-0.91096133,1,2,1,2,0,0,0,2,2,0,1,2,1.1794872,-0.5373987,1,1,0.9048,High Risk,Upgrade to 2-year contract with 20% discount,90.5,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,1,0,-1.1552835,1,2,1,2,0,0,0,2,2,0,1,2,1.1578839,-0.85393965,1,1,0.9043,High Risk,Upgrade to 2-year contract with 20% discount,90.4,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,1,0,-1.1960039,1,2,1,0,0,0,0,2,2,0,0,2,0.9917042,-0.8840044,1,1,0.904,High Risk,Upgrade to 2-year contract with 20% discount,90.4,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.1608057,-0.9766931,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,1,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.1624675,-0.97667104,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.1624675,-0.97667104,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,2,0,0,1,2,0.6593448,-0.9700709,0,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.0738428,1,2,1,0,2,0,0,2,2,0,1,2,1.1130154,-0.75992656,1,1,0.9032,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,2,0,1,2,0.6726392,-0.96989435,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.1608057,-0.9766931,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.16911468,-0.97658277,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.1608057,-0.9766931,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.1552835,1,2,1,0,0,0,0,2,2,0,0,2,0.98173344,-0.820034,1,1,0.9031,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,1,1,-1.1552835,1,2,1,0,2,0,0,2,2,0,1,2,1.1030446,-0.83767116,1,1,0.9032,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,2,0,0,1,3,0.66100657,-0.97004884,1,1,0.9032,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,1,1,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.16745289,-0.9766048,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,0,2,1,0,0,0,0,0,2,0,0,2,0.67430097,-0.96987224,1,1,0.9033,High Risk,Upgrade to 2-year contract with 20% discount,90.3,Call,5.0,0.45,3,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,1,0,-1.2774446,1,2,1,0,0,0,0,2,0,0,1,2,0.70753694,-0.96943074,1,1,0.9016,High Risk,Upgrade to 2-year contract with 20% discount,90.2,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,2,0,1,2,0.72581667,-0.969188,1,1,0.9016,High Risk,Upgrade to 2-year contract with 20% discount,90.2,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,2,1,0,0,2,0,2,0,0,1,2,0.7989358,-0.9682167,1,1,0.9016,High Risk,Upgrade to 2-year contract with 20% discount,90.2,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,1,2,0.5047977,-0.9721238,1,1,0.9011,High Risk,Upgrade to 2-year contract with 20% discount,90.1,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,1,1,-1.2774446,1,2,1,2,0,2,0,2,2,0,1,2,1.2526063,-0.9621905,1,1,0.9003,High Risk,Upgrade to 2-year contract with 20% discount,90.0,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,1,0,-1.2774446,1,0,1,0,0,0,0,2,0,0,0,0,0.48485613,-0.9723887,1,1,0.9004,High Risk,Upgrade to 2-year contract with 20% discount,90.0,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-0.992402,1,2,1,0,0,2,0,2,2,0,1,2,1.1911198,-0.6456716,1,1,0.8989,High Risk,Upgrade to 2-year contract with 20% discount,89.9,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,0,0,1,0,0,0,0,0,0,0,0,2,0.14917313,-0.97684765,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,3,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,1,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.13920234,-0.9769801,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.14751132,-0.9768697,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,0,2,0,1,3,0.68759537,-0.9696957,1,1,0.8985,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.1574821,-0.97673726,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,1,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.1591439,-0.9767152,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,0,0,0,1,2,0.14751132,-0.9768697,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,1,0,-1.1552835,1,2,1,0,2,0,0,2,0,0,1,2,0.89365816,-0.8461034,1,1,0.8981,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,1,1,-1.2774446,1,0,1,0,0,0,0,0,0,0,0,2,0.14917313,-0.97684765,1,1,0.8977,High Risk,Upgrade to 2-year contract with 20% discount,89.8,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,2,1,0,0,0,0,2,0,0,0,2,0.6959043,-0.9695853,1,1,0.8969,High Risk,Upgrade to 2-year contract with 20% discount,89.7,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,2,0,1,2,0.85709864,-0.9674441,1,1,0.8971,High Risk,Upgrade to 2-year contract with 20% discount,89.7,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
1,0.0,0,0,-1.0331224,1,2,1,0,0,0,0,2,2,0,0,2,0.96677727,-0.7268156,1,1,0.897,High Risk,Upgrade to 2-year contract with 20% discount,89.7,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,0,-1.2774446,1,0,1,0,0,0,0,2,2,0,0,2,0.8587604,-0.96742207,1,1,0.8971,High Risk,Upgrade to 2-year contract with 20% discount,89.7,Call,5.0,0.45,4,Treatment,50.0,0.35,175.0,3.499300139972006,True
0,0.0,0,1,-1.2367243,1,2,1,0,0,0,0,2,2,0,0,0,0.9784098,-0.92186135,1,1,0.8952,High Risk,Upgrade to 2-year contract with 20% discount,89.5,Call,5.0,0.45,4,Control,50.0,0.35,175.0,3.499300139972006,True
